"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"bless","2601","53.64","23"
"airline","2602","53.64","23"
"amendment","2603","53.63","23"
"grandmother","2604","53.63","23"
"jury","2605","53.62","23"
"cooperation","2606","53.62","23"
"civilian","2607","53.61","23"
"composition","2608","53.61","23"
"coin","2609","53.6","23"
"regardless","2610","53.6","23"
"scan","2611","53.59","23"
"bunch","2612","53.59","23"
"racial","2613","53.58","23"
"greet","2614","53.58","23"
"hopefully","2615","53.58","23"
"sanction","2616","53.58","23"
"trick","2617","53.58","23"
"paragraph","2618","53.58","23"
"maker","2619","53.57","23"
"chocolate","2620","53.56","23"
"stimulate","2621","53.56","23"
"belt","2622","53.56","23"
"potato","2623","53.55","23"
"narrative","2624","53.55","23"
"tissue","2625","53.55","23"
