"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"money","201","66.92","492"
"fact","202","66.86","486"
"however","203","66.8","479"
"area","204","66.78","477"
"provide","205","66.78","476"
"name","206","66.74","472"
"read","207","66.73","471"
"friend","208","66.7","468"
"month","209","66.7","468"
"large","210","66.67","464"
"business","211","66.67","464"
"without","212","66.64","461"
"information","213","66.62","459"
"open","214","66.61","459"
"order","215","66.59","456"
"government","216","66.58","455"
"word","217","66.58","455"
"issue","218","66.56","453"
"market","219","66.53","450"
"pay","220","66.51","447"
"build","221","66.5","446"
"hold","222","66.45","442"
"service","223","66.44","440"
"against","224","66.39","436"
"believe","225","66.38","435"
