"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"birth","1526","57.26","53"
"forest","1527","57.26","53"
"label","1528","57.26","53"
"root","1529","57.26","53"
"factory","1530","57.25","53"
"expense","1531","57.25","53"
"channel","1532","57.25","53"
"investigate","1533","57.25","53"
"recommendation","1534","57.24","53"
"rank","1535","57.23","53"
"typical","1536","57.23","53"
"west","1537","57.23","53"
"friendly","1538","57.23","53"
"resident","1539","57.23","53"
"provision","1540","57.23","53"
"concentrate","1541","57.22","53"
"plenty","1542","57.22","53"
"export","1543","57.21","53"
"entirely","1544","57.21","53"
"strongly","1545","57.21","53"
"bridge","1546","57.2","53"
"consist","1547","57.2","52"
"graduate","1548","57.2","52"
"brand","1549","57.19","52"
"moral","1550","57.18","52"
