"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"adviser","2201","54.93","31"
"stem","2202","54.93","31"
"reverse","2203","54.92","31"
"mode","2204","54.92","31"
"mirror","2205","54.92","31"
"awful","2206","54.92","31"
"pose","2207","54.92","31"
"adjust","2208","54.92","31"
"creative","2209","54.91","31"
"nowadays","2210","54.91","31"
"poem","2211","54.91","31"
"agricultural","2212","54.91","31"
"competitor","2213","54.91","31"
"alcohol","2214","54.91","31"
"festival","2215","54.9","31"
"vegetable","2216","54.9","31"
"van","2217","54.9","31"
"confident","2218","54.9","31"
"planet","2219","54.88","31"
"curve","2220","54.88","31"
"knee","2221","54.88","31"
"overcome","2222","54.88","31"
"web","2223","54.87","31"
"depth","2224","54.87","31"
"entrance","2225","54.86","31"
