"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"wear","526","62.71","187"
"fund","527","62.71","187"
"rest","528","62.71","186"
"kid","529","62.7","186"
"industry","530","62.68","185"
"education","531","62.67","185"
"measure","532","62.67","185"
"kill","533","62.65","184"
"serve","534","62.64","184"
"likely","535","62.62","183"
"certainly","536","62.59","182"
"national","537","62.58","181"
"itself","538","62.57","181"
"teach","539","62.57","181"
"field","540","62.57","181"
"security","541","62.54","180"
"air","542","62.53","179"
"benefit","543","62.53","179"
"trade","544","62.52","179"
"risk","545","62.52","179"
"news","546","62.51","178"
"standard","547","62.5","178"
"vote","548","62.49","177"
"percent","549","62.49","177"
"focus","550","62.48","177"
