"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"want","76","71.31","1354"
"give","77","71.24","1332"
"first","78","71.21","1321"
"new","79","71.1","1290"
"way","80","71.07","1279"
"find","81","70.92","1236"
"over","82","70.92","1235"
"any","83","70.88","1224"
"after","84","70.83","1210"
"day","85","70.75","1187"
"where","86","70.75","1187"
"thing","87","70.65","1161"
"most","88","70.59","1146"
"should","89","70.54","1132"
"need","90","70.53","1129"
"much","91","70.51","1125"
"right","92","70.47","1113"
"how","93","70.39","1093"
"back","94","70.22","1051"
"mean","95","70.09","1021"
"even","96","69.95","988"
"may","97","69.82","959"
"here","98","69.77","947"
"many","99","69.75","945"
"such","100","69.71","936"
