"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"shade","2726","53.09","20"
"grain","2727","53.07","20"
"situate","2728","53.07","20"
"summarize","2729","53.07","20"
"leap","2730","53.07","20"
"snap","2731","53.06","20"
"probability","2732","53.06","20"
"leather","2733","53.05","20"
"uncertainty","2734","53.04","20"
"swear","2735","53.04","20"
"refugee","2736","53.03","20"
"shore","2737","53.02","20"
"monthly","2738","52.99","20"
"comprise","2739","52.98","20"
"stir","2740","52.98","20"
"excitement","2741","52.96","20"
"sigh","2742","52.95","20"
"pregnancy","2743","52.95","20"
"experimental","2744","52.95","20"
"institutional","2745","52.94","20"
"slice","2746","52.94","20"
"wander","2747","52.94","20"
"empire","2748","52.93","20"
"subsequently","2749","52.93","20"
"gentle","2750","52.91","20"
