"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"nerve","2676","53.35","22"
"determination","2677","53.34","22"
"altogether","2678","53.34","22"
"fiction","2679","53.33","22"
"carpet","2680","53.31","21"
"cluster","2681","53.31","21"
"confusion","2682","53.29","21"
"hurry","2683","53.29","21"
"logic","2684","53.29","21"
"controversial","2685","53.28","21"
"raw","2686","53.28","21"
"grammar","2687","53.26","21"
"revise","2688","53.26","21"
"hint","2689","53.26","21"
"hook","2690","53.25","21"
"bell","2691","53.25","21"
"liquid","2692","53.24","21"
"panic","2693","53.24","21"
"uncle","2694","53.23","21"
"rice","2695","53.22","21"
"slope","2696","53.22","21"
"happiness","2697","53.21","21"
"genuine","2698","53.21","21"
"vessel","2699","53.2","21"
"verb","2700","53.2","21"
