"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"significance","2351","54.46","28"
"shower","2352","54.45","28"
"illegal","2353","54.45","28"
"charity","2354","54.44","28"
"universal","2355","54.44","28"
"cigarette","2356","54.44","28"
"constitute","2357","54.44","28"
"adequate","2358","54.44","28"
"consultant","2359","54.44","28"
"historian","2360","54.44","28"
"cousin","2361","54.43","28"
"visual","2362","54.43","28"
"stupid","2363","54.43","28"
"keen","2364","54.42","28"
"ethnic","2365","54.41","28"
"twin","2366","54.41","28"
"clinical","2367","54.41","28"
"eastern","2368","54.4","28"
"forecast","2369","54.4","28"
"segment","2370","54.4","28"
"custom","2371","54.4","28"
"adapt","2372","54.4","28"
"sand","2373","54.39","28"
"cap","2374","54.39","27"
"prompt","2375","54.38","27"
