"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"particularly","601","62.09","162"
"wife","602","62.06","161"
"sport","603","62.06","161"
"prepare","604","62.04","160"
"discuss","605","62.03","160"
"response","606","62.03","159"
"voice","607","62.02","159"
"piece","608","62.01","159"
"finish","609","62","158"
"suppose","610","61.97","157"
"apply","611","61.97","157"
"president","612","61.97","157"
"fire","613","61.96","157"
"compare","614","61.95","157"
"court","615","61.94","156"
"police","616","61.93","156"
"store","617","61.92","156"
"poor","618","61.92","156"
"knowledge","619","61.91","155"
"laugh","620","61.91","155"
"arm","621","61.9","155"
"heart","622","61.9","155"
"source","623","61.9","155"
"employee","624","61.89","154"
"manage","625","61.87","154"
