"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"body","401","63.98","250"
"require","402","63.97","249"
"wait","403","63.96","249"
"general","404","63.95","248"
"appear","405","63.95","248"
"toward","406","63.95","248"
"team","407","63.95","248"
"easy","408","63.95","248"
"individual","409","63.95","248"
"full","410","63.95","248"
"black","411","63.94","248"
"sense","412","63.92","247"
"perhaps","413","63.91","246"
"add","414","63.89","245"
"rule","415","63.88","245"
"pass","416","63.86","243"
"produce","417","63.86","243"
"sell","418","63.86","243"
"short","419","63.81","241"
"agree","420","63.81","240"
"law","421","63.79","239"
"everything","422","63.77","238"
"research","423","63.75","237"
"cover","424","63.73","236"
"paper","425","63.73","236"
