"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"generate","1426","57.73","59"
"gift","1427","57.73","59"
"delivery","1428","57.72","59"
"deny","1429","57.72","59"
"guest","1430","57.72","59"
"anybody","1431","57.71","59"
"bedroom","1432","57.71","59"
"quote","1433","57.71","59"
"climb","1434","57.7","59"
"basically","1435","57.7","59"
"violence","1436","57.69","59"
"minister","1437","57.69","59"
"mainly","1438","57.68","59"
"mouth","1439","57.68","59"
"noise","1440","57.68","59"
"manner","1441","57.67","59"
"gun","1442","57.67","58"
"square","1443","57.67","58"
"occasion","1444","57.65","58"
"familiar","1445","57.64","58"
"ignore","1446","57.64","58"
"destroy","1447","57.64","58"
"affair","1448","57.63","58"
"civil","1449","57.62","58"
"locate","1450","57.62","58"
