"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"vision","1651","56.76","47"
"personality","1652","56.76","47"
"specifically","1653","56.76","47"
"fat","1654","56.75","47"
"entry","1655","56.75","47"
"fellow","1656","56.75","47"
"chemical","1657","56.75","47"
"capture","1658","56.75","47"
"tip","1659","56.74","47"
"discount","1660","56.74","47"
"peak","1661","56.74","47"
"chairman","1662","56.73","47"
"proportion","1663","56.73","47"
"ear","1664","56.72","47"
"disappear","1665","56.71","47"
"shout","1666","56.71","47"
"yard","1667","56.71","47"
"constant","1668","56.71","47"
"significantly","1669","56.69","47"
"hill","1670","56.67","46"
"considerable","1671","56.67","46"
"instruction","1672","56.67","46"
"intelligence","1673","56.67","46"
"ideal","1674","56.66","46"
"folk","1675","56.66","46"
