"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"from","26","76.63","4598"
"by","27","76.36","4323"
"will","28","76.23","4195"
"or","29","76.09","4060"
"say","30","75.35","3425"
"go","31","75.13","3260"
"so","32","75.09","3227"
"all","33","75.02","3175"
"if","34","74.78","3009"
"one","35","74.77","2997"
"would","36","74.77","2997"
"about","37","74.72","2967"
"can","38","74.61","2890"
"which","39","74.6","2886"
"there","40","74.5","2820"
"know","41","74.21","2634"
"more","42","74.2","2631"
"get","43","74.1","2573"
"who","44","74.04","2534"
"like","45","73.92","2465"
"when","46","73.86","2435"
"think","47","73.86","2433"
"make","48","73.73","2359"
"time","49","73.62","2302"
"see","50","73.48","2226"
