"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"differ","1976","55.59","36"
"grateful","1977","55.59","36"
"protein","1978","55.59","36"
"bike","1979","55.59","36"
"distribute","1980","55.58","36"
"intellectual","1981","55.58","36"
"derive","1982","55.58","36"
"crucial","1983","55.58","36"
"unemployment","1984","55.57","36"
"wheel","1985","55.57","36"
"crop","1986","55.57","36"
"minority","1987","55.57","36"
"origin","1988","55.57","36"
"interpretation","1989","55.57","36"
"gentleman","1990","55.56","36"
"drama","1991","55.56","36"
"landscape","1992","55.56","36"
"educate","1993","55.56","36"
"toy","1994","55.55","36"
"fault","1995","55.55","36"
"exhibit","1996","55.55","36"
"minor","1997","55.54","36"
"hunt","1998","55.53","36"
"storm","1999","55.53","36"
"thick","2000","55.53","36"
