"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"properly","1726","56.46","44"
"ancient","1727","56.46","44"
"coast","1728","56.45","44"
"ill","1729","56.45","44"
"kick","1730","56.45","44"
"closely","1731","56.45","44"
"multiple","1732","56.45","44"
"yield","1733","56.44","44"
"via","1734","56.44","44"
"legislation","1735","56.44","44"
"county","1736","56.43","44"
"unlike","1737","56.42","44"
"mobile","1738","56.42","44"
"assistant","1739","56.42","44"
"implement","1740","56.41","44"
"chart","1741","56.41","44"
"attach","1742","56.4","44"
"hell","1743","56.4","44"
"everywhere","1744","56.39","44"
"advise","1745","56.39","44"
"household","1746","56.39","44"
"acknowledge","1747","56.39","44"
"reward","1748","56.38","43"
"east","1749","56.38","43"
"hat","1750","56.38","43"
