"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"creature","2526","53.87","24"
"partnership","2527","53.87","24"
"participation","2528","53.86","24"
"clause","2529","53.86","24"
"penalty","2530","53.86","24"
"chamber","2531","53.86","24"
"fancy","2532","53.86","24"
"poetry","2533","53.86","24"
"chat","2534","53.85","24"
"clothing","2535","53.85","24"
"evolve","2536","53.85","24"
"sake","2537","53.85","24"
"shelf","2538","53.84","24"
"boost","2539","53.84","24"
"tail","2540","53.83","24"
"possession","2541","53.83","24"
"abortion","2542","53.83","24"
"curious","2543","53.83","24"
"wooden","2544","53.82","24"
"boom","2545","53.82","24"
"tale","2546","53.82","24"
"democratic","2547","53.81","24"
"maintenance","2548","53.8","24"
"consequently","2549","53.8","24"
"pot","2550","53.8","24"
