"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"personnel","2501","53.97","25"
"imagination","2502","53.96","25"
"disagree","2503","53.96","25"
"throat","2504","53.95","25"
"insight","2505","53.94","25"
"tackle","2506","53.94","25"
"forever","2507","53.93","25"
"exceed","2508","53.93","25"
"expenditure","2509","53.93","25"
"joy","2510","53.92","25"
"pregnant","2511","53.91","25"
"reliable","2512","53.91","25"
"gear","2513","53.91","25"
"click","2514","53.91","25"
"poet","2515","53.91","25"
"fortune","2516","53.91","25"
"ceremony","2517","53.9","25"
"pile","2518","53.9","25"
"pig","2519","53.89","25"
"mixture","2520","53.89","25"
"automatically","2521","53.88","24"
"scholar","2522","53.87","24"
"psychological","2523","53.87","24"
"dramatically","2524","53.87","24"
"stake","2525","53.87","24"
