"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"peace","1126","58.99","79"
"status","1127","58.99","79"
"crime","1128","58.98","79"
"decline","1129","58.97","79"
"decade","1130","58.97","79"
"launch","1131","58.97","79"
"warn","1132","58.96","79"
"consumer","1133","58.96","79"
"favor","1134","58.96","79"
"dry","1135","58.95","78"
"partner","1136","58.95","78"
"institution","1137","58.95","78"
"spot","1138","58.94","78"
"horse","1139","58.94","78"
"eventually","1140","58.93","78"
"heat","1141","58.93","78"
"excite","1142","58.92","78"
"reader","1143","58.92","78"
"importance","1144","58.91","78"
"distance","1145","58.9","78"
"guide","1146","58.9","78"
"grant","1147","58.9","78"
"taxi","1148","58.89","77"
"feed","1149","58.89","77"
"pain","1150","58.89","77"
