"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"outcome","1626","56.89","49"
"blame","1627","56.89","49"
"explanation","1628","56.89","49"
"arise","1629","56.89","49"
"musical","1630","56.88","49"
"recover","1631","56.87","49"
"dad","1632","56.87","49"
"stretch","1633","56.87","49"
"declare","1634","56.86","49"
"retire","1635","56.86","48"
"tiny","1636","56.85","48"
"careful","1637","56.84","48"
"suitable","1638","56.84","48"
"native","1639","56.84","48"
"fruit","1640","56.84","48"
"analyze","1641","56.83","48"
"witness","1642","56.83","48"
"mail","1643","56.83","48"
"terrible","1644","56.83","48"
"researcher","1645","56.82","48"
"ordinary","1646","56.8","48"
"selection","1647","56.78","48"
"anywhere","1648","56.78","48"
"mental","1649","56.78","48"
"participant","1650","56.77","48"
