"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"idea","251","65.87","387"
"cost","252","65.86","386"
"less","253","65.86","385"
"room","254","65.85","385"
"until","255","65.83","383"
"reason","256","65.83","383"
"form","257","65.79","379"
"spend","258","65.78","378"
"head","259","65.77","378"
"car","260","65.77","377"
"learn","261","65.74","375"
"level","262","65.71","373"
"person","263","65.66","368"
"experience","264","65.63","365"
"once","265","65.62","365"
"member","266","65.61","364"
"enough","267","65.6","363"
"bad","268","65.59","363"
"city","269","65.59","362"
"night","270","65.58","361"
"able","271","65.57","361"
"support","272","65.55","359"
"whether","273","65.55","359"
"line","274","65.54","358"
"present","275","65.54","358"
