"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"dare","2401","54.3","27"
"barrier","2402","54.3","27"
"rid","2403","54.29","27"
"divorce","2404","54.27","27"
"ruin","2405","54.26","27"
"bury","2406","54.26","27"
"counsel","2407","54.26","27"
"tendency","2408","54.26","27"
"frequent","2409","54.26","27"
"motor","2410","54.25","27"
"survival","2411","54.25","27"
"counter","2412","54.25","27"
"possess","2413","54.25","27"
"permission","2414","54.24","27"
"valley","2415","54.24","27"
"float","2416","54.24","27"
"mad","2417","54.24","27"
"greatly","2418","54.23","27"
"visible","2419","54.23","26"
"electric","2420","54.23","26"
"impressive","2421","54.22","26"
"evolution","2422","54.21","26"
"awareness","2423","54.21","26"
"violent","2424","54.21","26"
"slave","2425","54.21","26"
