"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"stability","2576","53.7","23"
"wise","2577","53.7","23"
"neglect","2578","53.7","23"
"compose","2579","53.7","23"
"jail","2580","53.7","23"
"shelter","2581","53.69","23"
"mere","2582","53.69","23"
"carbon","2583","53.69","23"
"regulate","2584","53.69","23"
"cheese","2585","53.68","23"
"trigger","2586","53.68","23"
"pipe","2587","53.67","23"
"destruction","2588","53.67","23"
"guitar","2589","53.67","23"
"flag","2590","53.67","23"
"piano","2591","53.66","23"
"magic","2592","53.66","23"
"mystery","2593","53.66","23"
"ski","2594","53.66","23"
"whisper","2595","53.65","23"
"rear","2596","53.65","23"
"menu","2597","53.65","23"
"species","2598","53.64","23"
"moon","2599","53.64","23"
"presumably","2600","53.64","23"
