"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"royal","2776","52.69","19"
"theoretical","2777","52.67","19"
"curtain","2778","52.67","18"
"mayor","2779","52.55","18"
"darkness","2780","52.49","18"
"aunt","2781","52.45","18"
"tournament","2782","52.4","17"
"registration","2783","52.38","17"
"fragment","2784","52.38","17"
"listener","2785","52.32","17"
"immigration","2786","52.28","17"
"tender","2787","52.12","16"
"density","2788","52.05","16"
"ugly","2789","52","16"
"module","2790","51.85","15"
"faithfully","2791","51.79","15"
"autumn","2792","51.75","15"
"cheek","2793","51.73","15"
"attachment","2794","51.69","15"
"holder","2795","51.58","14"
"solar","2796","51.47","14"
"grin","2797","50.96","12"
"rose","2798","50.8","12"
"noun","2799","50.41","11"
"fortunate","2800","50.37","11"
