"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"soft","1601","56.99","50"
"row","1602","56.99","50"
"youth","1603","56.99","50"
"lock","1604","56.98","50"
"fuel","1605","56.98","50"
"expectation","1606","56.98","50"
"employment","1607","56.98","50"
"celebrate","1608","56.97","50"
"sexual","1609","56.97","50"
"shoulder","1610","56.96","50"
"breath","1611","56.96","50"
"increasingly","1612","56.96","50"
"import","1613","56.95","50"
"bottle","1614","56.95","50"
"ourselves","1615","56.95","49"
"sheet","1616","56.94","49"
"engine","1617","56.94","49"
"cast","1618","56.93","49"
"notion","1619","56.93","49"
"conservative","1620","56.93","49"
"journey","1621","56.92","49"
"opposition","1622","56.92","49"
"relief","1623","56.92","49"
"debt","1624","56.92","49"
"honor","1625","56.91","49"
