"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"forget","651","61.68","147"
"page","652","61.68","147"
"worry","653","61.68","147"
"summer","654","61.67","147"
"drink","655","61.66","147"
"opinion","656","61.66","147"
"park","657","61.65","146"
"represent","658","61.64","146"
"key","659","61.64","146"
"inside","660","61.62","145"
"manager","661","61.6","145"
"international","662","61.59","144"
"contain","663","61.58","144"
"notice","664","61.56","143"
"wonder","665","61.56","143"
"nature","666","61.55","143"
"structure","667","61.55","143"
"section","668","61.54","142"
"myself","669","61.53","142"
"exactly","670","61.52","142"
"plant","671","61.52","142"
"paint","672","61.51","142"
"worker","673","61.5","141"
"press","674","61.5","141"
"whatever","675","61.5","141"
