"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"earn","926","60.09","102"
"daughter","927","60.09","102"
"post","928","60.08","102"
"newspaper","929","60.07","102"
"define","930","60.06","101"
"conclusion","931","60.05","101"
"clock","932","60.05","101"
"everybody","933","60.05","101"
"weekend","934","60.04","101"
"perform","935","60.04","101"
"professional","936","60.04","101"
"mine","937","60.04","101"
"debate","938","60.03","101"
"memory","939","60.03","101"
"green","940","60.03","101"
"song","941","60.02","101"
"object","942","60","100"
"maintain","943","60","100"
"credit","944","59.99","100"
"ring","945","59.99","100"
"discover","946","59.97","99"
"dead","947","59.96","99"
"afternoon","948","59.96","99"
"prefer","949","59.96","99"
"extend","950","59.95","99"
