"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"theory","876","60.31","108"
"propose","877","60.31","107"
"reference","878","60.3","107"
"argument","879","60.3","107"
"adult","880","60.3","107"
"fly","881","60.3","107"
"document","882","60.29","107"
"pattern","883","60.29","107"
"application","884","60.28","107"
"hot","885","60.28","107"
"obviously","886","60.28","107"
"unclear","887","60.27","106"
"bill","888","60.27","106"
"search","889","60.26","106"
"separate","890","60.26","106"
"central","891","60.26","106"
"career","892","60.25","106"
"anyway","893","60.25","106"
"speech","894","60.24","106"
"dog","895","60.24","106"
"officer","896","60.24","106"
"throughout","897","60.24","106"
"oil","898","60.22","105"
"dress","899","60.21","105"
"profit","900","60.21","105"
