"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"crazy","2276","54.73","30"
"cite","2277","54.73","30"
"newly","2278","54.72","30"
"parallel","2279","54.72","30"
"gender","2280","54.72","30"
"sponsor","2281","54.72","30"
"boot","2282","54.71","30"
"accurate","2283","54.7","30"
"dealer","2284","54.69","29"
"button","2285","54.69","29"
"burden","2286","54.69","29"
"desert","2287","54.69","29"
"mate","2288","54.69","29"
"occasionally","2289","54.68","29"
"shareholder","2290","54.68","29"
"bowl","2291","54.67","29"
"discovery","2292","54.67","29"
"resistance","2293","54.67","29"
"bath","2294","54.66","29"
"frequency","2295","54.66","29"
"criticize","2296","54.66","29"
"tap","2297","54.65","29"
"philosophy","2298","54.65","29"
"lip","2299","54.64","29"
"attribute","2300","54.64","29"
