"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"floor","751","61.01","126"
"stuff","752","61.01","126"
"wide","753","61.01","126"
"anyone","754","61.01","126"
"method","755","61.01","126"
"analysis","756","61","126"
"election","757","60.99","126"
"military","758","60.99","126"
"hotel","759","60.99","126"
"club","760","60.99","126"
"below","761","60.99","126"
"movie","762","60.99","126"
"doctor","763","60.98","125"
"discussion","764","60.98","125"
"sorry","765","60.98","125"
"challenge","766","60.98","125"
"nation","767","60.96","125"
"nearly","768","60.96","125"
"statement","769","60.95","125"
"link","770","60.95","124"
"despite","771","60.94","124"
"introduce","772","60.94","124"
"advantage","773","60.94","124"
"ready","774","60.94","124"
"marry","775","60.93","124"
