"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"colleague","1251","58.45","70"
"bag","1252","58.45","70"
"repeat","1253","58.44","70"
"equal","1254","58.43","70"
"expression","1255","58.43","70"
"plus","1256","58.43","70"
"extremely","1257","58.43","70"
"owner","1258","58.42","70"
"plane","1259","58.42","69"
"commercial","1260","58.41","69"
"lady","1261","58.39","69"
"duty","1262","58.38","69"
"strength","1263","58.37","69"
"connect","1264","58.36","69"
"cultural","1265","58.36","69"
"arrange","1266","58.35","68"
"scheme","1267","58.35","68"
"payment","1268","58.34","68"
"unfortunately","1269","58.34","68"
"brief","1270","58.34","68"
"bird","1271","58.33","68"
"demonstrate","1272","58.33","68"
"contribution","1273","58.33","68"
"appreciate","1274","58.32","68"
"chapter","1275","58.32","68"
