"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"eat","476","63.19","209"
"step","477","63.18","208"
"TRUE","478","63.17","208"
"phone","479","63.16","207"
"themselves","480","63.16","207"
"draw","481","63.15","207"
"white","482","63.14","206"
"date","483","63.13","205"
"practice","484","63.12","205"
"model","485","63.12","205"
"raise","486","63.11","205"
"customer","487","63.11","205"
"front","488","63.07","203"
"explain","489","63.06","202"
"door","490","63.05","202"
"outside","491","63.02","200"
"behind","492","63.01","200"
"economic","493","62.99","199"
"site","494","62.98","199"
"approach","495","62.98","199"
"teacher","496","62.98","199"
"land","497","62.94","197"
"charge","498","62.94","197"
"finally","499","62.93","197"
"sign","500","62.93","197"
