"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"possibility","951","59.95","99"
"direction","952","59.94","99"
"facility","953","59.94","99"
"variety","954","59.92","98"
"daily","955","59.91","98"
"clothes","956","59.91","98"
"screen","957","59.9","98"
"track","958","59.89","98"
"dance","959","59.89","97"
"completely","960","59.89","97"
"female","961","59.88","97"
"responsibility","962","59.88","97"
"original","963","59.84","96"
"sister","964","59.84","96"
"rock","965","59.84","96"
"dream","966","59.84","96"
"nor","967","59.82","96"
"university","968","59.82","96"
"easily","969","59.81","96"
"agency","970","59.81","96"
"dollar","971","59.8","96"
"garden","972","59.79","95"
"fix","973","59.79","95"
"ahead","974","59.78","95"
"cross","975","59.78","95"
