"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"necessary","676","61.5","141"
"region","677","61.48","141"
"growth","678","61.46","140"
"evening","679","61.46","140"
"influence","680","61.46","140"
"respect","681","61.46","140"
"various","682","61.46","140"
"catch","683","61.45","140"
"thus","684","61.43","139"
"skill","685","61.43","139"
"attempt","686","61.42","139"
"son","687","61.42","139"
"simple","688","61.41","138"
"medium","689","61.41","138"
"average","690","61.41","138"
"stock","691","61.4","138"
"management","692","61.39","138"
"character","693","61.38","138"
"bed","694","61.38","137"
"hit","695","61.38","137"
"establish","696","61.37","137"
"indeed","697","61.36","137"
"final","698","61.36","137"
"economy","699","61.35","137"
"fit","700","61.35","137"
