"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"tooth","2026","55.47","35"
"representation","2027","55.47","35"
"preparation","2028","55.47","35"
"dispute","2029","55.47","35"
"agenda","2030","55.46","35"
"emphasis","2031","55.46","35"
"edition","2032","55.46","35"
"silver","2033","55.46","35"
"entertainment","2034","55.46","35"
"honest","2035","55.46","35"
"undertake","2036","55.44","35"
"retail","2037","55.44","35"
"wire","2038","55.44","35"
"unlikely","2039","55.44","35"
"gay","2040","55.43","35"
"publication","2041","55.43","35"
"slight","2042","55.43","35"
"unknown","2043","55.43","35"
"framework","2044","55.42","35"
"zone","2045","55.42","35"
"restrict","2046","55.42","35"
"trace","2047","55.41","35"
"inch","2048","55.41","35"
"equivalent","2049","55.41","35"
"solid","2050","55.39","35"
