"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"skirt","2451","54.12","26"
"province","2452","54.12","26"
"march","2453","54.11","26"
"evaluation","2454","54.11","26"
"compromise","2455","54.11","26"
"accomplish","2456","54.11","26"
"weakness","2457","54.11","26"
"announcement","2458","54.11","26"
"salt","2459","54.11","26"
"glance","2460","54.1","26"
"opera","2461","54.1","26"
"contest","2462","54.1","26"
"brush","2463","54.1","26"
"embarrass","2464","54.09","26"
"gallery","2465","54.09","26"
"genetic","2466","54.09","26"
"aggressive","2467","54.09","26"
"chest","2468","54.09","26"
"format","2469","54.08","26"
"literary","2470","54.08","26"
"govern","2471","54.08","26"
"embrace","2472","54.06","25"
"praise","2473","54.05","25"
"silent","2474","54.05","25"
"pump","2475","54.04","25"
