"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"sector","1151","58.87","77"
"mistake","1152","58.87","77"
"ensure","1153","58.86","77"
"satisfy","1154","58.85","77"
"chief","1155","58.85","77"
"cool","1156","58.85","77"
"expert","1157","58.84","77"
"wave","1158","58.84","77"
"south","1159","58.84","77"
"labor","1160","58.83","76"
"surface","1161","58.83","76"
"library","1162","58.82","76"
"excellent","1163","58.81","76"
"edge","1164","58.81","76"
"camp","1165","58.81","76"
"audience","1166","58.8","76"
"lift","1167","58.8","76"
"procedure","1168","58.79","76"
"email","1169","58.79","76"
"global","1170","58.79","76"
"struggle","1171","58.79","76"
"advertise","1172","58.77","75"
"select","1173","58.76","75"
"surround","1174","58.75","75"
"extent","1175","58.74","75"
