"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"next","151","67.92","620"
"end","152","67.92","619"
"live","153","67.84","608"
"why","154","67.83","607"
"while","155","67.77","598"
"world","156","67.76","597"
"week","157","67.75","596"
"play","158","67.73","593"
"might","159","67.68","587"
"must","160","67.68","586"
"home","161","67.67","585"
"never","162","67.63","580"
"include","163","67.6","575"
"course","164","67.6","575"
"house","165","67.57","572"
"report","166","67.56","570"
"group","167","67.55","569"
"case","168","67.55","569"
"woman","169","67.55","568"
"around","170","67.54","568"
"book","171","67.53","566"
"family","172","67.52","565"
"seem","173","67.5","562"
"let","174","67.44","555"
"again","175","67.44","554"
