"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"dear","1401","57.86","61"
"objective","1402","57.84","61"
"moreover","1403","57.84","61"
"onto","1404","57.84","61"
"historical","1405","57.83","61"
"oppose","1406","57.83","61"
"branch","1407","57.82","61"
"vehicle","1408","57.82","61"
"scientist","1409","57.82","60"
"route","1410","57.81","60"
"bind","1411","57.8","60"
"belong","1412","57.8","60"
"taste","1413","57.8","60"
"tonight","1414","57.79","60"
"fashion","1415","57.79","60"
"danger","1416","57.79","60"
"bomb","1417","57.79","60"
"army","1418","57.79","60"
"dangerous","1419","57.77","60"
"decrease","1420","57.76","60"
"hurt","1421","57.76","60"
"council","1422","57.75","60"
"editor","1423","57.74","59"
"normally","1424","57.74","59"
"sight","1425","57.74","59"
