"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"subsequent","2251","54.79","30"
"infection","2252","54.79","30"
"jacket","2253","54.78","30"
"efficiency","2254","54.78","30"
"dirty","2255","54.78","30"
"statistic","2256","54.78","30"
"regularly","2257","54.78","30"
"resort","2258","54.78","30"
"iron","2259","54.77","30"
"broadcast","2260","54.77","30"
"membership","2261","54.77","30"
"bread","2262","54.77","30"
"blind","2263","54.77","30"
"pure","2264","54.76","30"
"bloody","2265","54.76","30"
"ally","2266","54.76","30"
"quantity","2267","54.76","30"
"bend","2268","54.76","30"
"mature","2269","54.75","30"
"briefly","2270","54.75","30"
"alarm","2271","54.75","30"
"disturb","2272","54.74","30"
"sustain","2273","54.74","30"
"flood","2274","54.74","30"
"poverty","2275","54.73","30"
