"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"wealthy","2426","54.21","26"
"architecture","2427","54.21","26"
"acceptable","2428","54.21","26"
"journal","2429","54.21","26"
"coal","2430","54.21","26"
"measurement","2431","54.21","26"
"random","2432","54.21","26"
"successfully","2433","54.19","26"
"depress","2434","54.19","26"
"illustration","2435","54.18","26"
"burst","2436","54.18","26"
"privilege","2437","54.18","26"
"buyer","2438","54.18","26"
"mutual","2439","54.18","26"
"rail","2440","54.17","26"
"motivate","2441","54.16","26"
"laboratory","2442","54.15","26"
"mortgage","2443","54.15","26"
"promotion","2444","54.14","26"
"passion","2445","54.14","26"
"champion","2446","54.13","26"
"fulfill","2447","54.13","26"
"dust","2448","54.13","26"
"dedicate","2449","54.12","26"
"roughly","2450","54.12","26"
