"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"leave","126","68.44","699"
"number","127","68.44","698"
"both","128","68.42","695"
"own","129","68.4","693"
"part","130","68.4","692"
"point","131","68.35","684"
"little","132","68.33","681"
"help","133","68.32","680"
"ask","134","68.29","675"
"meet","135","68.26","671"
"start","136","68.26","669"
"talk","137","68.23","665"
"something","138","68.23","665"
"put","139","68.16","655"
"another","140","68.16","655"
"become","141","68.15","654"
"interest","142","68.15","653"
"country","143","68.15","653"
"old","144","68.11","647"
"each","145","68.1","646"
"school","146","68.05","638"
"late","147","68.05","638"
"high","148","68.04","637"
"different","149","68.03","636"
"off","150","68","630"
