"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"attendance","2751","52.9","19"
"ownership","2752","52.89","19"
"qualification","2753","52.89","19"
"suspend","2754","52.88","19"
"functional","2755","52.87","19"
"voluntary","2756","52.86","19"
"pale","2757","52.86","19"
"stain","2758","52.86","19"
"athlete","2759","52.85","19"
"organic","2760","52.85","19"
"tongue","2761","52.85","19"
"server","2762","52.82","19"
"structural","2763","52.82","19"
"website","2764","52.82","19"
"fool","2765","52.81","19"
"alongside","2766","52.81","19"
"unite","2767","52.8","19"
"gently","2768","52.79","19"
"compute","2769","52.78","19"
"wipe","2770","52.76","19"
"weird","2771","52.75","19"
"gaze","2772","52.74","19"
"fade","2773","52.73","19"
"cough","2774","52.73","19"
"hypothesis","2775","52.71","19"
