"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"reckon","2701","53.19","21"
"silly","2702","53.18","21"
"transportation","2703","53.18","21"
"harbor","2704","53.18","21"
"comedy","2705","53.17","21"
"chase","2706","53.17","21"
"storage","2707","53.16","21"
"universe","2708","53.16","21"
"horrible","2709","53.16","21"
"sheep","2710","53.16","21"
"lover","2711","53.16","21"
"rat","2712","53.15","21"
"portrait","2713","53.15","21"
"innocent","2714","53.15","21"
"substitute","2715","53.14","21"
"supplement","2716","53.14","21"
"adjustment","2717","53.13","21"
"reasonably","2718","53.13","21"
"filter","2719","53.13","21"
"flexible","2720","53.13","21"
"abstract","2721","53.12","21"
"tent","2722","53.11","20"
"precise","2723","53.11","20"
"distant","2724","53.1","20"
"stranger","2725","53.1","20"
