"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"complicate","1851","55.99","40"
"discipline","1852","55.99","40"
"disappoint","1853","55.99","40"
"boss","1854","55.98","40"
"assumption","1855","55.98","40"
"freeze","1856","55.98","40"
"extreme","1857","55.98","40"
"passage","1858","55.98","40"
"reputation","1859","55.98","40"
"forth","1860","55.98","40"
"negotiation","1861","55.97","40"
"mechanism","1862","55.96","39"
"coat","1863","55.96","39"
"democracy","1864","55.96","39"
"pocket","1865","55.96","39"
"lucky","1866","55.96","39"
"crash","1867","55.96","39"
"observation","1868","55.96","39"
"meat","1869","55.95","39"
"concentration","1870","55.95","39"
"implication","1871","55.95","39"
"deserve","1872","55.94","39"
"unusual","1873","55.94","39"
"defend","1874","55.94","39"
"classic","1875","55.93","39"
