"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"insist","1551","57.17","52"
"combination","1552","57.17","52"
"abuse","1553","57.17","52"
"ice","1554","57.16","52"
"principal","1555","57.16","52"
"master","1556","57.16","52"
"definitely","1557","57.16","52"
"session","1558","57.16","52"
"grade","1559","57.16","52"
"nevertheless","1560","57.16","52"
"predict","1561","57.15","52"
"previously","1562","57.14","52"
"protection","1563","57.14","52"
"largely","1564","57.14","52"
"wed","1565","57.13","52"
"rent","1566","57.13","52"
"shot","1567","57.12","52"
"appearance","1568","57.12","52"
"reasonable","1569","57.12","52"
"guarantee","1570","57.12","52"
"till","1571","57.12","52"
"theme","1572","57.11","51"
"judgment","1573","57.11","51"
"odd","1574","57.11","51"
"approve","1575","57.1","51"
