"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"certain","451","63.49","223"
"forward","452","63.48","223"
"main","453","63.48","223"
"die","454","63.47","222"
"bear","455","63.45","222"
"cut","456","63.45","221"
"describe","457","63.43","220"
"himself","458","63.42","220"
"available","459","63.42","220"
"especially","460","63.42","220"
"strong","461","63.38","218"
"rise","462","63.38","218"
"girl","463","63.37","217"
"maybe","464","63.37","217"
"community","465","63.37","217"
"else","466","63.34","216"
"particular","467","63.33","215"
"role","468","63.33","215"
"join","469","63.33","215"
"difficult","470","63.32","215"
"please","471","63.28","213"
"detail","472","63.28","213"
"difference","473","63.27","212"
"action","474","63.21","210"
"health","475","63.21","209"
