"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"mouse","1926","55.78","38"
"mathematics","1927","55.77","38"
"upper","1928","55.77","38"
"creation","1929","55.76","38"
"occupy","1930","55.76","38"
"outline","1931","55.76","38"
"sufficient","1932","55.76","38"
"update","1933","55.76","38"
"luck","1934","55.75","38"
"preserve","1935","55.75","38"
"split","1936","55.75","38"
"swing","1937","55.75","38"
"illness","1938","55.75","38"
"journalist","1939","55.75","38"
"sudden","1940","55.75","38"
"advertisement","1941","55.74","38"
"consistent","1942","55.74","38"
"originally","1943","55.73","37"
"aside","1944","55.73","37"
"comfort","1945","55.71","37"
"secondly","1946","55.71","37"
"severe","1947","55.7","37"
"gene","1948","55.7","37"
"prospect","1949","55.7","37"
"snow","1950","55.7","37"
