"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"kind","176","67.43","554"
"keep","177","67.41","551"
"hear","178","67.37","546"
"system","179","67.36","545"
"every","180","67.36","545"
"question","181","67.34","542"
"during","182","67.32","540"
"always","183","67.25","531"
"big","184","67.22","527"
"set","185","67.21","526"
"small","186","67.2","525"
"study","187","67.19","524"
"follow","188","67.17","521"
"begin","189","67.14","518"
"important","190","67.14","518"
"since","191","67.12","515"
"run","192","67.08","510"
"under","193","67.07","509"
"turn","194","67.07","509"
"few","195","67.07","509"
"bring","196","67","502"
"early","197","66.98","499"
"hand","198","66.97","497"
"state","199","66.94","494"
"move","200","66.93","493"
