"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"relatively","1326","58.15","65"
"host","1327","58.15","65"
"winter","1328","58.15","65"
"district","1329","58.15","65"
"broad","1330","58.14","65"
"tire","1331","58.12","65"
"spring","1332","58.11","65"
"spirit","1333","58.09","64"
"lunch","1334","58.09","64"
"actual","1335","58.08","64"
"pool","1336","58.08","64"
"battle","1337","58.08","64"
"tradition","1338","58.08","64"
"cash","1339","58.07","64"
"hardly","1340","58.06","64"
"award","1341","58.06","64"
"coach","1342","58.06","64"
"experiment","1343","58.06","64"
"consideration","1344","58.06","64"
"strange","1345","58.06","64"
"code","1346","58.06","64"
"possibly","1347","58.04","64"
"threat","1348","58.04","64"
"accident","1349","58.04","64"
"impossible","1350","58.04","64"
