"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"publisher","2476","54.04","25"
"celebration","2477","54.04","25"
"golf","2478","54.04","25"
"compensation","2479","54.04","25"
"classical","2480","54.04","25"
"weigh","2481","54.03","25"
"versus","2482","54.03","25"
"deficit","2483","54.02","25"
"modify","2484","54.02","25"
"flash","2485","54.02","25"
"friendship","2486","54.02","25"
"profession","2487","54.01","25"
"literally","2488","54.01","25"
"equation","2489","54.01","25"
"gesture","2490","54.01","25"
"entertain","2491","54","25"
"fantastic","2492","54","25"
"assign","2493","54","25"
"inflation","2494","54","25"
"historic","2495","54","25"
"injure","2496","53.98","25"
"remote","2497","53.98","25"
"therapy","2498","53.97","25"
"orange","2499","53.97","25"
"twist","2500","53.97","25"
