"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"academic","1751","56.37","43"
"voter","1752","56.37","43"
"meanwhile","1753","56.36","43"
"furthermore","1754","56.36","43"
"accuse","1755","56.36","43"
"scientific","1756","56.35","43"
"wage","1757","56.35","43"
"absence","1758","56.35","43"
"construct","1759","56.33","43"
"remark","1760","56.33","43"
"medicine","1761","56.33","43"
"professor","1762","56.33","43"
"rare","1763","56.33","43"
"intention","1764","56.33","43"
"dozen","1765","56.32","43"
"settlement","1766","56.32","43"
"gap","1767","56.32","43"
"widely","1768","56.3","43"
"minimum","1769","56.3","43"
"northern","1770","56.3","43"
"estate","1771","56.3","43"
"equally","1772","56.29","43"
"expose","1773","56.29","43"
"alive","1774","56.29","43"
"shut","1775","56.28","42"
