"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"stage","551","62.47","177"
"space","552","62.46","176"
"instead","553","62.46","176"
"realize","554","62.46","176"
"usually","555","62.44","175"
"data","556","62.42","174"
"single","557","62.41","174"
"address","558","62.37","173"
"performance","559","62.36","172"
"chance","560","62.36","172"
"accept","561","62.36","172"
"society","562","62.35","172"
"technology","563","62.35","172"
"mention","564","62.35","172"
"choice","565","62.33","171"
"save","566","62.33","171"
"common","567","62.32","170"
"culture","568","62.29","170"
"total","569","62.28","169"
"demand","570","62.27","169"
"material","571","62.26","168"
"limit","572","62.25","168"
"listen","573","62.25","168"
"due","574","62.23","167"
"wrong","575","62.23","167"
