"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"tomorrow","726","61.14","130"
"director","727","61.13","130"
"clearly","728","61.13","130"
"lack","729","61.12","129"
"review","730","61.12","129"
"depend","731","61.1","129"
"race","732","61.1","129"
"recognize","733","61.1","129"
"window","734","61.1","129"
"purpose","735","61.09","128"
"department","736","61.09","128"
"gain","737","61.08","128"
"tree","738","61.08","128"
"college","739","61.07","128"
"argue","740","61.07","128"
"board","741","61.06","128"
"holiday","742","61.05","127"
"mark","743","61.05","127"
"church","744","61.02","127"
"machine","745","61.02","126"
"achieve","746","61.02","126"
"item","747","61.02","126"
"prove","748","61.02","126"
"cent","749","61.02","126"
"season","750","61.01","126"
