"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"claim","501","62.93","196"
"relationship","502","62.93","196"
"travel","503","62.91","195"
"enjoy","504","62.89","195"
"death","505","62.89","194"
"nice","506","62.86","193"
"amount","507","62.86","193"
"improve","508","62.83","192"
"picture","509","62.83","192"
"boy","510","62.83","192"
"regard","511","62.82","191"
"organization","512","62.82","191"
"happy","513","62.81","191"
"couple","514","62.81","191"
"act","515","62.8","190"
"range","516","62.79","190"
"quality","517","62.78","190"
"project","518","62.78","190"
"round","519","62.77","189"
"opportunity","520","62.76","189"
"road","521","62.76","189"
"accord","522","62.74","188"
"list","523","62.73","187"
"wish","524","62.73","187"
"therefore","525","62.72","187"
