"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"cow","2551","53.79","24"
"strengthen","2552","53.79","24"
"whilst","2553","53.79","24"
"constraint","2554","53.79","24"
"fold","2555","53.79","24"
"bin","2556","53.79","24"
"undergo","2557","53.79","24"
"potentially","2558","53.78","24"
"scope","2559","53.78","24"
"pretend","2560","53.78","24"
"diversity","2561","53.77","24"
"allege","2562","53.77","24"
"pride","2563","53.76","24"
"intense","2564","53.76","24"
"inquiry","2565","53.75","24"
"resign","2566","53.75","24"
"craft","2567","53.75","24"
"strict","2568","53.75","24"
"concrete","2569","53.74","24"
"shell","2570","53.74","24"
"damn","2571","53.72","24"
"distinct","2572","53.72","24"
"humor","2573","53.71","24"
"limitation","2574","53.71","24"
"indication","2575","53.71","23"
