"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"what","51","73.43","2204"
"up","52","73.32","2150"
"some","53","73.28","2130"
"other","54","73.22","2100"
"out","55","73.15","2064"
"good","56","73.09","2038"
"people","57","73.05","2019"
"year","58","72.9","1949"
"take","59","72.73","1873"
"no","60","72.68","1854"
"well","61","72.64","1835"
"because","62","72.61","1824"
"very","63","72.53","1792"
"just","64","72.43","1751"
"come","65","72.29","1694"
"could","66","72.27","1688"
"work","67","72.24","1674"
"use","68","72.19","1657"
"than","69","72.02","1591"
"now","70","71.94","1563"
"then","71","71.91","1554"
"also","72","71.91","1552"
"into","73","71.7","1477"
"only","74","71.69","1475"
"look","75","71.37","1370"
