"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"murder","1376","57.95","62"
"monitor","1377","57.94","62"
"soldier","1378","57.94","62"
"finance","1379","57.94","62"
"hate","1380","57.93","62"
"egg","1381","57.93","62"
"concert","1382","57.92","62"
"shock","1383","57.92","62"
"comfortable","1384","57.92","62"
"usual","1385","57.92","62"
"carefully","1386","57.91","62"
"pack","1387","57.91","62"
"recall","1388","57.91","62"
"wine","1389","57.9","62"
"camera","1390","57.9","62"
"swim","1391","57.9","62"
"manufacture","1392","57.9","62"
"theater","1393","57.89","61"
"cycle","1394","57.88","61"
"coffee","1395","57.87","61"
"totally","1396","57.87","61"
"museum","1397","57.87","61"
"visitor","1398","57.87","61"
"freedom","1399","57.86","61"
"construction","1400","57.86","61"
