"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"citizen","1451","57.62","58"
"temperature","1452","57.61","58"
"gold","1453","57.61","58"
"domestic","1454","57.57","57"
"load","1455","57.57","57"
"belief","1456","57.57","57"
"troop","1457","57.57","57"
"technical","1458","57.56","57"
"remind","1459","57.56","57"
"arrangement","1460","57.56","57"
"skin","1461","57.55","57"
"prison","1462","57.55","57"
"switch","1463","57.55","57"
"acquire","1464","57.54","57"
"corporate","1465","57.53","57"
"fairly","1466","57.53","57"
"wood","1467","57.53","57"
"participate","1468","57.53","57"
"tough","1469","57.53","57"
"tear","1470","57.52","57"
"representative","1471","57.52","57"
"capacity","1472","57.52","57"
"border","1473","57.51","56"
"shake","1474","57.51","56"
"assessment","1475","57.51","56"
