"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"apologize","2301","54.64","29"
"approval","2302","54.63","29"
"grab","2303","54.63","29"
"entitle","2304","54.63","29"
"lend","2305","54.63","29"
"involvement","2306","54.63","29"
"exposure","2307","54.63","29"
"conventional","2308","54.62","29"
"digital","2309","54.62","29"
"translate","2310","54.61","29"
"edit","2311","54.6","29"
"formation","2312","54.6","29"
"deposit","2313","54.6","29"
"pleasant","2314","54.58","29"
"overseas","2315","54.58","29"
"advocate","2316","54.58","29"
"establishment","2317","54.57","29"
"summary","2318","54.56","29"
"rough","2319","54.56","29"
"pen","2320","54.55","29"
"recovery","2321","54.55","28"
"seal","2322","54.55","28"
"tube","2323","54.55","28"
"tower","2324","54.54","28"
"characterize","2325","54.54","28"
