"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"shoe","1476","57.51","56"
"ought","1477","57.5","56"
"ad","1478","57.5","56"
"fee","1479","57.49","56"
"hall","1480","57.49","56"
"regulation","1481","57.48","56"
"escape","1482","57.48","56"
"studio","1483","57.48","56"
"proper","1484","57.47","56"
"relax","1485","57.47","56"
"tourist","1486","57.47","56"
"component","1487","57.47","56"
"afford","1488","57.46","56"
"lawyer","1489","57.46","56"
"suspect","1490","57.45","56"
"cup","1491","57.45","56"
"description","1492","57.45","56"
"confidence","1493","57.44","55"
"industrial","1494","57.42","55"
"complain","1495","57.42","55"
"perspective","1496","57.42","55"
"error","1497","57.42","55"
"arrest","1498","57.42","55"
"assess","1499","57.41","55"
"register","1500","57.4","55"
