"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"surely","1676","56.66","46"
"guard","1677","56.66","46"
"cat","1678","56.65","46"
"somewhat","1679","56.65","46"
"kiss","1680","56.64","46"
"presentation","1681","56.64","46"
"joint","1682","56.64","46"
"compete","1683","56.64","46"
"poll","1684","56.64","46"
"weak","1685","56.63","46"
"faith","1686","56.63","46"
"reduction","1687","56.62","46"
"reserve","1688","56.61","46"
"complaint","1689","56.61","46"
"bore","1690","56.6","46"
"mission","1691","56.6","46"
"somehow","1692","56.59","46"
"tone","1693","56.59","46"
"neighborhood","1694","56.59","46"
"passenger","1695","56.59","46"
"justice","1696","56.58","46"
"phase","1697","56.58","46"
"thin","1698","56.58","46"
"rush","1699","56.58","45"
"formal","1700","56.57","45"
