"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"cable","2076","55.29","34"
"sensitive","2077","55.29","34"
"nervous","2078","55.29","34"
"input","2079","55.29","34"
"isolate","2080","55.28","34"
"prisoner","2081","55.27","34"
"eliminate","2082","55.27","34"
"tight","2083","55.27","34"
"wet","2084","55.27","34"
"secondary","2085","55.26","34"
"welfare","2086","55.26","34"
"recruit","2087","55.26","34"
"exclude","2088","55.25","34"
"string","2089","55.25","33"
"cloud","2090","55.25","33"
"persuade","2091","55.25","33"
"inspire","2092","55.24","33"
"grand","2093","55.24","33"
"hence","2094","55.24","33"
"crew","2095","55.23","33"
"phenomenon","2096","55.23","33"
"pupil","2097","55.23","33"
"FALSE","2098","55.23","33"
"assist","2099","55.22","33"
"restore","2100","55.22","33"
