"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"restriction","2176","54.98","31"
"foundation","2177","54.98","31"
"designer","2178","54.98","31"
"strain","2179","54.98","31"
"innovation","2180","54.97","31"
"album","2181","54.97","31"
"singer","2182","54.97","31"
"trail","2183","54.96","31"
"trap","2184","54.96","31"
"loose","2185","54.96","31"
"extension","2186","54.95","31"
"wealth","2187","54.95","31"
"gradually","2188","54.95","31"
"tank","2189","54.95","31"
"evil","2190","54.94","31"
"remarkable","2191","54.94","31"
"tune","2192","54.94","31"
"grass","2193","54.94","31"
"invitation","2194","54.94","31"
"transition","2195","54.94","31"
"frighten","2196","54.93","31"
"bid","2197","54.93","31"
"breed","2198","54.93","31"
"extraordinary","2199","54.93","31"
"brilliant","2200","54.93","31"
